DataYear,BuildingType,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,mean_GFA_per_floor,Number_of_Use_Types
2016,NonResidential,Small- and Mid-Sized Office,47.60266,-122.33332,1.0,89550,0,Office,3903259.75,51.67,116,11193.75,3
2016,NonResidential,Small- and Mid-Sized Office,47.60219,-122.33347,1.0,89355,0,Office,4178233.5,31.97,116,12765.0,2
2016,NonResidential,Large Office,47.6036,-122.33288,1.0,388934,0,Office,18576900.0,213.23,94,24308.375,1
2016,NonResidential,Large Office,47.60403,-122.33497,1.0,384302,0,Office,10062436.0,70.15,87,16708.782608695652,3
2016,NonResidential,Large Office,47.60505,-122.33427,1.0,1323055,0,Office,44683660.0,318.97,33,27563.645833333332,3
2016,NonResidential,Large Office,47.60567,-122.33511,1.0,589921,129432,Office,24603420.0,171.52,30,10964.02380952381,3
2016,NonResidential,Small- and Mid-Sized Office,47.60542,-122.33588,1.0,91091,1392,Office,1835804.875,46.56,66,12814.142857142857,2
2016,NonResidential,Large Office,47.60581,-122.33664,1.0,157941,62993,Office,3743228.5,26.1,48,10549.777777777777,2
2016,NonResidential,Large Office,47.60614,-122.33674,1.0,635303,197231,Office,18221224.0,139.72,25,14602.4,2
2016,NonResidential,Large Office,47.60655,-122.33533,1.0,776762,162604,Office,32552428.0,231.32,36,17547.371428571427,2
2016,NonResidential,Large Office,47.60671,-122.33456,1.0,186768,23775,Office,9641043.0,218.53,44,10866.2,3
2016,NonResidential,Large Office,47.60549,-122.33319,1.0,1052469,164420,Office,41213584.0,287.32,14,23369.71052631579,11
2016,NonResidential,Large Office,47.60471,-122.33261,1.0,201480,0,Office,8921778.0,175.95,109,22386.666666666668,3
2016,Nonresidential COS,Large Office,47.60501,-122.32988,1.0,1354987,159600,Office,61576184.0,429.27,26,18677.921875,2
2016,Nonresidential COS,Large Office,47.60421,-122.32919,1.0,310490,0,Office,21169502.0,380.37,15,20699.333333333332,3
2016,Nonresidential COS,Large Office,47.60377,-122.32971,1.0,199530,30660,Office,13214416.0,298.61,13,18763.333333333332,4
2016,NonResidential,Large Office,47.60249,-122.32854,1.0,372242,52703,Office,13843866.0,216.24,10,22824.214285714286,2
2016,NonResidential,Large Office,47.60193,-122.32812,1.0,114395,8296,Office,2746560.75,70.17,107,13262.375,1
2016,NonResidential,Retail Store,47.66024,-122.31278,1.0,89200,0,Retail Store,6461937.0,89.47,38,29733.333333333332,1
2016,NonResidential,Large Office,47.66072,-122.31466,1.0,474546,0,Office,28450436.0,198.34,45,19772.75,1
2016,NonResidential,Small- and Mid-Sized Office,47.661,-122.31626,0.0,99005,0,Office,4728488.5,119.03,55,16500.833333333332,1
2016,NonResidential,Large Office,47.66065,-122.31689,1.0,135051,44248,Office,4426136.0,30.86,14,12971.857142857143,2
2016,NonResidential,Large Office,47.65999,-122.31741,1.0,220649,82720,Office,7046345.5,49.12,14,22988.166666666668,2
2016,NonResidential,Self-Storage Facility,47.61591,-122.33238,1.0,93660,0,Self-Storage Facility,873221.875,6.09,52,15610.0,1
